"STRid","Pop"
"FALCIPARUM_STR_380","Bangladesh-Colombia"
"FALCIPARUM_STR_10803","Bangladesh-Colombia"
"FALCIPARUM_STR_15081","Bangladesh-Colombia"
"FALCIPARUM_STR_21390","Bangladesh-Colombia"
"FALCIPARUM_STR_28262","Bangladesh-Colombia"
"FALCIPARUM_STR_28375","Bangladesh-Colombia"
"FALCIPARUM_STR_28381","Bangladesh-Colombia"
"FALCIPARUM_STR_28446","Bangladesh-Colombia"
"FALCIPARUM_STR_28730","Bangladesh-Colombia"
"FALCIPARUM_STR_28751","Bangladesh-Colombia"
"FALCIPARUM_STR_80111","Bangladesh-Myanmar"
"FALCIPARUM_STR_80217","Bangladesh-Myanmar"
"FALCIPARUM_STR_5494","Bangladesh-Myanmar"
"FALCIPARUM_STR_83533","Bangladesh-Myanmar"
"FALCIPARUM_STR_50390","Bangladesh-Myanmar"
"FALCIPARUM_STR_35168","Bangladesh-Myanmar"
"FALCIPARUM_STR_84209","Bangladesh-Myanmar"
"FALCIPARUM_STR_54171","Bangladesh-Myanmar"
"FALCIPARUM_STR_40914","Bangladesh-Myanmar"
"FALCIPARUM_STR_87666","Bangladesh-Myanmar"
"FALCIPARUM_STR_31269","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_9636","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_83530","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_31184","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_10925","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_31148","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_10989","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_31124","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_87743","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_15060","Bangladesh-PapuaNewGuinea"
"FALCIPARUM_STR_4950","Bangladesh-Peru"
"FALCIPARUM_STR_8999","Bangladesh-Peru"
"FALCIPARUM_STR_10803","Bangladesh-Peru"
"FALCIPARUM_STR_12658","Bangladesh-Peru"
"FALCIPARUM_STR_13115","Bangladesh-Peru"
"FALCIPARUM_STR_14998","Bangladesh-Peru"
"FALCIPARUM_STR_20149","Bangladesh-Peru"
"FALCIPARUM_STR_28375","Bangladesh-Peru"
"FALCIPARUM_STR_28381","Bangladesh-Peru"
"FALCIPARUM_STR_28816","Bangladesh-Peru"
"FALCIPARUM_STR_38196","Benin-Bangladesh"
"FALCIPARUM_STR_10532","Benin-Bangladesh"
"FALCIPARUM_STR_28375","Benin-Bangladesh"
"FALCIPARUM_STR_38162","Benin-Bangladesh"
"FALCIPARUM_STR_93966","Benin-Bangladesh"
"FALCIPARUM_STR_80583","Benin-Bangladesh"
"FALCIPARUM_STR_69733","Benin-Bangladesh"
"FALCIPARUM_STR_28381","Benin-Bangladesh"
"FALCIPARUM_STR_10803","Benin-Bangladesh"
"FALCIPARUM_STR_9636","Benin-Bangladesh"
"FALCIPARUM_STR_10532","Benin-Cambodia"
