"STRid","Pop"
"VIVAX_STR_622","Cambodia-Colombia"
"VIVAX_STR_2058","Cambodia-Colombia"
"VIVAX_STR_8264","Cambodia-Colombia"
"VIVAX_STR_11474","Cambodia-Colombia"
"VIVAX_STR_13676","Cambodia-Colombia"
"VIVAX_STR_13823","Cambodia-Colombia"
"VIVAX_STR_14029","Cambodia-Colombia"
"VIVAX_STR_19189","Cambodia-Colombia"
"VIVAX_STR_19656","Cambodia-Colombia"
"VIVAX_STR_21393","Cambodia-Colombia"
"VIVAX_STR_622","Cambodia-Mexico"
"VIVAX_STR_2058","Cambodia-Mexico"
"VIVAX_STR_2349","Cambodia-Mexico"
"VIVAX_STR_5608","Cambodia-Mexico"
"VIVAX_STR_5980","Cambodia-Mexico"
"VIVAX_STR_8264","Cambodia-Mexico"
"VIVAX_STR_9660","Cambodia-Mexico"
"VIVAX_STR_9785","Cambodia-Mexico"
"VIVAX_STR_11474","Cambodia-Mexico"
"VIVAX_STR_13676","Cambodia-Mexico"
"VIVAX_STR_622","Cambodia-Peru"
"VIVAX_STR_2058","Cambodia-Peru"
"VIVAX_STR_2349","Cambodia-Peru"
"VIVAX_STR_5407","Cambodia-Peru"
"VIVAX_STR_8264","Cambodia-Peru"
"VIVAX_STR_11474","Cambodia-Peru"
"VIVAX_STR_13823","Cambodia-Peru"
"VIVAX_STR_13824","Cambodia-Peru"
"VIVAX_STR_17645","Cambodia-Peru"
"VIVAX_STR_19189","Cambodia-Peru"
"VIVAX_STR_37214","Cambodia-Thailand"
"VIVAX_STR_8105","Cambodia-Thailand"
"VIVAX_STR_37109","Cambodia-Thailand"
"VIVAX_STR_12680","Cambodia-Thailand"
"VIVAX_STR_36953","Cambodia-Thailand"
"VIVAX_STR_8196","Cambodia-Thailand"
"VIVAX_STR_28962","Cambodia-Thailand"
"VIVAX_STR_15571","Cambodia-Thailand"
"VIVAX_STR_24151","Cambodia-Thailand"
"VIVAX_STR_14552","Cambodia-Thailand"
"VIVAX_STR_16029","Colombia-Mexico"
"VIVAX_STR_35774","Colombia-Mexico"
"VIVAX_STR_6485","Colombia-Mexico"
"VIVAX_STR_31058","Colombia-Mexico"
"VIVAX_STR_1944","Colombia-Mexico"
"VIVAX_STR_31057","Colombia-Mexico"
"VIVAX_STR_19594","Colombia-Mexico"
"VIVAX_STR_21191","Colombia-Mexico"
"VIVAX_STR_27740","Colombia-Mexico"
"VIVAX_STR_11619","Colombia-Mexico"
"VIVAX_STR_31058","Peru-Colombia"
"VIVAX_STR_8278","Peru-Colombia"
"VIVAX_STR_25859","Peru-Colombia"
"VIVAX_STR_31057","Peru-Colombia"
"VIVAX_STR_39865","Peru-Colombia"
"VIVAX_STR_27740","Peru-Colombia"
"VIVAX_STR_16142","Peru-Colombia"
"VIVAX_STR_1944","Peru-Colombia"
"VIVAX_STR_33278","Peru-Colombia"
"VIVAX_STR_14020","Peru-Colombia"
"VIVAX_STR_3984","Peru-Mexico"
"VIVAX_STR_1446","Peru-Mexico"
"VIVAX_STR_16277","Peru-Mexico"
"VIVAX_STR_21191","Peru-Mexico"
"VIVAX_STR_1261","Peru-Mexico"
"VIVAX_STR_3780","Peru-Mexico"
"VIVAX_STR_3847","Peru-Mexico"
"VIVAX_STR_30269","Peru-Mexico"
"VIVAX_STR_19509","Peru-Mexico"
"VIVAX_STR_39865","Peru-Mexico"
"VIVAX_STR_11474","Thailand-Colombia"
"VIVAX_STR_24889","Thailand-Colombia"
"VIVAX_STR_24903","Thailand-Colombia"
"VIVAX_STR_25250","Thailand-Colombia"
"VIVAX_STR_27112","Thailand-Colombia"
"VIVAX_STR_37090","Thailand-Colombia"
"VIVAX_STR_15024","Thailand-Colombia"
"VIVAX_STR_37211","Thailand-Colombia"
"VIVAX_STR_38038","Thailand-Colombia"
"VIVAX_STR_16142","Thailand-Colombia"
"VIVAX_STR_10960","Thailand-Mexico"
"VIVAX_STR_11474","Thailand-Mexico"
"VIVAX_STR_15024","Thailand-Mexico"
"VIVAX_STR_24903","Thailand-Mexico"
"VIVAX_STR_24989","Thailand-Mexico"
"VIVAX_STR_27112","Thailand-Mexico"
"VIVAX_STR_35774","Thailand-Mexico"
"VIVAX_STR_22730","Thailand-Mexico"
"VIVAX_STR_1944","Thailand-Mexico"
"VIVAX_STR_37211","Thailand-Mexico"
"VIVAX_STR_24903","Thailand-Peru"
"VIVAX_STR_26824","Thailand-Peru"
"VIVAX_STR_26889","Thailand-Peru"
"VIVAX_STR_11474","Thailand-Peru"
"VIVAX_STR_10960","Thailand-Peru"
"VIVAX_STR_38038","Thailand-Peru"
"VIVAX_STR_1979","Thailand-Peru"
"VIVAX_STR_8196","Thailand-Peru"
"VIVAX_STR_5407","Thailand-Peru"
"VIVAX_STR_24889","Thailand-Peru"
