"Sample","Sample_id","Country","Year","Country_Origin"
"ERR018932","PQ0008-C","Brazil",2008,"Brazil"
"ERR021981","PV0056-C","Vietnam",2009,"Vietnam"
"ERR021982","PV0067-C","Vietnam",2009,"Vietnam"
"ERR022864","PN0050-C","PNG",2008,"Papua New Guinea"
"ERR022866","PV0053-C","Vietnam",2009,"Vietnam"
"ERR023040","PH0178-C","Cambodia",2010,"Cambodia"
"ERR023161","PV0025-C","Vietnam",2010,"Vietnam"
"ERR027119","PH0190-C","Cambodia",2010,"Cambodia"
"ERR039234","PH0385-C","Cambodia",2010,"Cambodia"
"ERR111713","PD0171-C","Thailand",2011,"Thailand"
"ERR111714","PD0175-C","Thailand",2011,"Thailand"
"ERR111719","PD0172-C","Thailand",2011,"Thailand"
"ERR111721","PD0168-C","Thailand",2011,"Thailand"
"ERR111722","PD0181-C","Thailand",2011,"Thailand"
"ERR111725","PD0177-C","Thailand",2011,"Thailand"
"ERR111727","PD0167-C","Thailand",2011,"Thailand"
"ERR111728","PD0169-C","Thailand",2011,"Thailand"
"ERR111729","PH0309-C","Cambodia",2010,"Cambodia"
"ERR152408","PH0075-C","Cambodia",2009,"Cambodia"
"ERR152415","PY0005-C","Malaysia",2011,"Malaysia"
"ERR175552","PN0067-Cx","PNG",2009,"Papua New Guinea"
"ERR211549","PH0184-C","Cambodia",2010,"Cambodia"
"ERR216477","PH0312-C","Cambodia",2010,"Cambodia"
"ERR216554","PH0893-C","Cambodia",2012,"Cambodia"
"ERR337538","PH1078-C","Cambodia",2012,"Cambodia"
"ERR337597","PD0617-C","Thailand",2012,"Thailand"
"ERR337599","PD0594-C","Thailand",2009,"Thailand"
"ERR337600","PD0606-C","Thailand",2010,"Thailand"
"ERR337601","PD0618-C","Thailand",2011,"Thailand"
"ERR337603","PD0607-C","Thailand",2011,"Thailand"
"ERR337604","PD0619-C","Thailand",2012,"Thailand"
"ERR337606","PD0608-C","Thailand",2012,"Thailand"
"ERR337607","PD0620-C","Thailand",2012,"Thailand"
"ERR337610","PD0598-C","Thailand",2009,"Thailand"
"ERR337618","PD0624-C","Thailand",2012,"Thailand"
"ERR337619","PD0601-C","Thailand",2012,"Thailand"
"ERR337622","PD0602-C","Thailand",2010,"Thailand"
"ERR337626","PD0615-C","Thailand",2011,"Thailand"
"ERR337628","PD0604-C","Thailand",2010,"Thailand"
"ERR337630","PJ0009-C","Indonesia",2013,"Indonesia"
"ERR386535","PH1121-C","Cambodia",2012,"Cambodia"
"ERR386537","PH1112-C","Cambodia",2012,"Cambodia"
"ERR386539","PH1115-C","Cambodia",2012,"Cambodia"
"ERR386541","PH1124-C","Cambodia",2012,"Cambodia"
"ERR386542","PH1125-C","Cambodia",2012,"Cambodia"
"ERR388742","PH0914-Cx","Cambodia",2011,"Cambodia"
"ERR426015","PD0647-C","Thailand",2012,"Thailand"
"ERR527337","PY0018-C","Malaysia",2013,"Malaysia"
"ERR527338","PD0709-C","Thailand",2013,"Thailand"
"ERR527340","PD0699-C","Thailand",2011,"Thailand"
"ERR527341","PD0711-C","Thailand",2011,"Thailand"
"ERR527343","PD0712-C","Thailand",2006,"Thailand"
"ERR527344","PD0701-C","Thailand",2011,"Thailand"
"ERR527345","PD0703-C","Thailand",2012,"Thailand"
"ERR527346","PD0715-C","Thailand",2010,"Thailand"
"ERR527352","PD0675-C","Thailand",2011,"Thailand"
"ERR527355","PD0678-C","Thailand",2011,"Thailand"
"ERR527362","PD0696-C","Thailand",2012,"Thailand"
"ERR527363","PY0019-C","Malaysia",2013,"Malaysia"
"ERR527364","PD0686-C","Thailand",2007,"Thailand"
"ERR527366","PD0688-C","Thailand",2011,"Thailand"
"ERR527367","PD0690-C","Thailand",2011,"Thailand"
"ERR527368","PD0714-C","Thailand",2012,"Thailand"
"ERR527369","PD0692-C","Thailand",2011,"Thailand"
"ERR527370","PD0681-C","Thailand",2007,"Thailand"
"ERR527372","PD0694-C","Thailand",2011,"Thailand"
"ERR527373","PJ0167-C","Indonesia",2013,"Indonesia"
"ERR527375","PD0708-C","Thailand",2011,"Thailand"
"ERR527376","PD0697-C","Thailand",2006,"Thailand"
"ERR527378","PD0689-C","Thailand",2011,"Thailand"
"ERR527380","PD0702-C","Thailand",2013,"Thailand"
