"Sample","PC1","PC2","PC3","Sample_id","Country","Year","Country_Origin"
"ERR018932",-14.2166217364911,4.49144695581947,-0.751889157259242,"PQ0008-C","Brazil",2008,"Brazil"
"ERR021981",17.22981269626,-1.52861661678819,2.5576779207871,"PV0056-C","Vietnam",2009,"Vietnam"
"ERR021982",16.94225860941,-0.252354417187846,1.15648143562825,"PV0067-C","Vietnam",2009,"Vietnam"
"ERR022864",8.47689146098585,0.703438584882412,-31.4862967962389,"PN0050-C","PNG",2008,"Papua New Guinea"
"ERR022866",16.7645170618186,0.337666980691811,2.22393103585396,"PV0053-C","Vietnam",2009,"Vietnam"
"ERR023040",16.1082875896456,-2.00310122697387,3.16106616127083,"PH0178-C","Cambodia",2010,"Cambodia"
"ERR023161",17.0653221378265,-1.57838040158679,0.526461193476234,"PV0025-C","Vietnam",2010,"Vietnam"
"ERR027119",19.368805111328,-3.06972442843968,-1.9309947232623,"PH0190-C","Cambodia",2010,"Cambodia"
"ERR039234",17.5817328653917,-0.674063522467567,-0.110051625829787,"PH0385-C","Cambodia",2010,"Cambodia"
"ERR111713",16.7208108851754,-2.45690265752898,3.70147337822939,"PD0171-C","Thailand",2011,"Thailand"
"ERR111714",15.0323554647718,0.396207835223251,4.63189015365553,"PD0175-C","Thailand",2011,"Thailand"
"ERR111719",16.6547218396098,0.0639050270648842,3.13996555592877,"PD0172-C","Thailand",2011,"Thailand"
"ERR111721",16.206895003442,-1.95437487253664,5.55391169695385,"PD0168-C","Thailand",2011,"Thailand"
"ERR111722",17.8973462103027,-1.733840906904,3.99590130823478,"PD0181-C","Thailand",2011,"Thailand"
"ERR111725",17.4665412080226,-1.1555705212901,2.66949038623674,"PD0177-C","Thailand",2011,"Thailand"
"ERR111727",17.2744881731787,-1.51337057146479,2.96428336510867,"PD0167-C","Thailand",2011,"Thailand"
"ERR111728",16.7786895555713,0.708913858605127,2.56353658258201,"PD0169-C","Thailand",2011,"Thailand"
"ERR111729",18.6645115303329,-3.27333130183336,-2.18260678402906,"PH0309-C","Cambodia",2010,"Cambodia"
"ERR152408",18.1687869819569,-1.06570325921664,-2.12298965624243,"PH0075-C","Cambodia",2009,"Cambodia"
"ERR152415",14.8599841132599,1.94613806857951,-13.1008582846807,"PY0005-C","Malaysia",2011,"Malaysia"
"ERR175552",10.1063481714048,0.137023848465973,-30.128673109548,"PN0067-Cx","PNG",2009,"Papua New Guinea"
"ERR211549",18.194961302199,-3.34332612742363,-2.09216025214905,"PH0184-C","Cambodia",2010,"Cambodia"
"ERR216477",17.1668298609913,-0.19705844251281,0.643457851402645,"PH0312-C","Cambodia",2010,"Cambodia"
