"Sample","Population","Country","Region"
"ERR035359","WAF","Ghana","Africa"
"ERR035360","WAF","Ghana","Africa"
"ERR035363","WAF","Ghana","Africa"
"ERR036145","WAF","Ghana","Africa"
"ERR036147","WAF","Ghana","Africa"
"ERR036148","WAF","Ghana","Africa"
"ERR036150","WAF","Ghana","Africa"
"ERR036152","WAF","Ghana","Africa"
"ERR036561","ESEA","Cambodia","Asia"
"ERR036562","ESEA","Cambodia","Asia"
"ERR036563","ESEA","Cambodia","Asia"
"ERR036566","ESEA","Cambodia","Asia"
"ERR036567","ESEA","Cambodia","Asia"
"ERR036569","ESEA","Cambodia","Asia"
"ERR036572","ESEA","Cambodia","Asia"
"ERR036573","ESEA","Cambodia","Asia"
"ERR036574","ESEA","Cambodia","Asia"
"ERR036575","ESEA","Cambodia","Asia"
"ERR036576","ESEA","Cambodia","Asia"
"ERR036578","ESEA","Cambodia","Asia"
"ERR036579","ESEA","Cambodia","Asia"
"ERR036580","ESEA","Cambodia","Asia"
"ERR036582","ESEA","Cambodia","Asia"
"ERR036584","ESEA","Cambodia","Asia"
"ERR036585","ESEA","Cambodia","Asia"
"ERR036586","ESEA","Cambodia","Asia"
"ERR036587","ESEA","Cambodia","Asia"
"ERR036588","ESEA","Cambodia","Asia"
"ERR036590","ESEA","Cambodia","Asia"
"ERR036592","ESEA","Cambodia","Asia"
"ERR036593","ESEA","Cambodia","Asia"
"ERR036594","ESEA","Cambodia","Asia"
"ERR036596","SAS","Bangladesh","Asia"
"ERR036597","SAS","Bangladesh","Asia"
"ERR036598","SAS","Bangladesh","Asia"
"ERR036600","SAS","Bangladesh","Asia"
"ERR036602","SAS","Bangladesh","Asia"
"ERR036603","SAS","Bangladesh","Asia"
"ERR036604","SAS","Bangladesh","Asia"
"ERR037383","WAF","Ghana","Africa"
"ERR039175","ESEA","Cambodia","Asia"
"ERR039176","ESEA","Cambodia","Asia"
"ERR039179","ESEA","Cambodia","Asia"
"ERR039180","ESEA","Cambodia","Asia"
"ERR039182","ESEA","Cambodia","Asia"
"ERR039186","ESEA","Cambodia","Asia"
"ERR039188","ESEA","Cambodia","Asia"
"ERR039189","ESEA","Cambodia","Asia"
"ERR039190","ESEA","Cambodia","Asia"
"ERR039193","ESEA","Cambodia","Asia"
"ERR039194","ESEA","Cambodia","Asia"
"ERR039196","ESEA","Cambodia","Asia"
"ERR039197","ESEA","Cambodia","Asia"
"ERR039198","ESEA","Cambodia","Asia"
"ERR039199","ESEA","Cambodia","Asia"
"ERR039200","ESEA","Cambodia","Asia"
"ERR039202","ESEA","Cambodia","Asia"
"ERR039203","ESEA","Cambodia","Asia"
"ERR039204","ESEA","Cambodia","Asia"
"ERR039205","ESEA","Cambodia","Asia"
"ERR039206","ESEA","Cambodia","Asia"
"ERR039207","ESEA","Cambodia","Asia"
"ERR039208","ESEA","Cambodia","Asia"
"ERR039209","ESEA","Cambodia","Asia"
"ERR039210","ESEA","Cambodia","Asia"
"ERR039211","ESEA","Cambodia","Asia"
"ERR039212","ESEA","Cambodia","Asia"
"ERR039213","ESEA","Cambodia","Asia"
"ERR039214","ESEA","Cambodia","Asia"
"ERR039217","ESEA","Cambodia","Asia"
"ERR039220","ESEA","Cambodia","Asia"
"ERR039222","ESEA","Cambodia","Asia"
"ERR039223","ESEA","Cambodia","Asia"
"ERR039224","ESEA","Cambodia","Asia"
"ERR039225","ESEA","Cambodia","Asia"
"ERR039227","ESEA","Cambodia","Asia"
"ERR039228","ESEA","Cambodia","Asia"
"ERR039230","ESEA","Cambodia","Asia"
"ERR039231","ESEA","Cambodia","Asia"
"ERR039235","WAF","Ghana","Africa"
"ERR039236","WAF","Ghana","Africa"
"ERR039237","ESEA","Cambodia","Asia"
"ERR039238","ESEA","Cambodia","Asia"
"ERR039239","ESEA","Cambodia","Asia"
"ERR039240","ESEA","Cambodia","Asia"
"ERR039241","ESEA","Cambodia","Asia"
"ERR039242","ESEA","Cambodia","Asia"
"ERR039243","ESEA","Cambodia","Asia"
"ERR039859","ESEA","Cambodia","Asia"
"ERR039860","ESEA","Cambodia","Asia"
"ERR039862","ESEA","Cambodia","Asia"
"ERR039863","ESEA","Cambodia","Asia"
"ERR039864","ESEA","Cambodia","Asia"
"ERR039865","ESEA","Cambodia","Asia"
"ERR039866","ESEA","Cambodia","Asia"
"ERR039869","ESEA","Cambodia","Asia"
"ERR039871","ESEA","Cambodia","Asia"
"ERR039874","ESEA","Cambodia","Asia"
"ERR039875","ESEA","Cambodia","Asia"
"ERR039876","ESEA","Cambodia","Asia"
"ERR039877","ESEA","Cambodia","Asia"
"ERR039878","ESEA","Cambodia","Asia"
"ERR039879","ESEA","Cambodia","Asia"
"ERR039880","ESEA","Cambodia","Asia"
"ERR039881","ESEA","Cambodia","Asia"
"ERR039882","ESEA","Cambodia","Asia"
"ERR039883","ESEA","Cambodia","Asia"
"ERR039884","ESEA","Cambodia","Asia"
"ERR039885","ESEA","Cambodia","Asia"
"ERR039886","SAS","Bangladesh","Asia"
"ERR039888","WAF","Ghana","Africa"
"ERR039889","ESEA","Cambodia","Asia"
"ERR039892","WAF","Ghana","Africa"
"ERR039893","ESEA","Cambodia","Asia"
"ERR039895","ESEA","Cambodia","Asia"
"ERR039898","ESEA","Cambodia","Asia"
"ERR039899","ESEA","Cambodia","Asia"
"ERR039900","ESEA","Cambodia","Asia"
"ERR039903","SAM","Colombia","SAM"
"ERR039904","ESEA","Cambodia","Asia"
"ERR039905","ESEA","Cambodia","Asia"
"ERR039912","ESEA","Cambodia","Asia"
"ERR039914","SAS","Bangladesh","Asia"
"ERR039916","ESEA","Cambodia","Asia"
"ERR039917","SAS","Bangladesh","Asia"
"ERR039919","ESEA","Cambodia","Asia"
"ERR039921","ESEA","Cambodia","Asia"
"ERR039924","WAF","Ghana","Africa"
"ERR039925","WAF","Ghana","Africa"
"ERR039926","ESEA","Cambodia","Asia"
"ERR039927","ESEA","Cambodia","Asia"
"ERR039929","ESEA","Cambodia","Asia"
"ERR039930","SAM","Colombia","SAM"
"ERR039931","ESEA","Cambodia","Asia"
"ERR039935","WAF","Ghana","Africa"
"ERR039936","ESEA","Cambodia","Asia"
"ERR039938","WAF","Ghana","Africa"
"ERR039941","ESEA","Cambodia","Asia"
"ERR039943","ESEA","Cambodia","Asia"
"ERR039944","WAF","Ghana","Africa"
"ERR039945","WAF","Ghana","Africa"
"ERR039948","ESEA","Cambodia","Asia"
"ERR039954","ESEA","Cambodia","Asia"
"ERR039955","ESEA","Cambodia","Asia"
"ERR039956","ESEA","Cambodia","Asia"
"ERR039959","ESEA","Cambodia","Asia"
"ERR039965","ESEA","Cambodia","Asia"
"ERR039967","ESEA","Cambodia","Asia"
"ERR039970","ESEA","Cambodia","Asia"
"ERR039971","WAF","Ghana","Africa"
"ERR039977","WAF","Ghana","Africa"
"ERR039979","WAF","Ghana","Africa"
"ERR039983","ESEA","Cambodia","Asia"
"ERR039984","ESEA","Cambodia","Asia"
"ERR039985","ESEA","Cambodia","Asia"
"ERR039986","SAM","Colombia","SAM"
