"Sample","PC1"
"ERR018932",-88.6484112036183
"ERR021981",81.7305200353485
"ERR021982",92.5832846597777
"ERR022864",47.9647128768307
"ERR022866",80.3615643358961
"ERR023040",88.7512655149436
"ERR023161",83.561622352934
"ERR027119",93.0866049054029
"ERR039234",77.5766433135868
"ERR111713",94.5695327332269
"ERR111714",77.8495765698035
"ERR111719",73.2444146202398
"ERR111721",82.5332940661318
"ERR111722",81.7517049563483
"ERR111725",87.1622617051172
"ERR111727",80.0720554981737
"ERR111728",91.9178662289355
"ERR111729",93.5068355130282
"ERR152408",87.814527427852
"ERR152415",65.407181578658
"ERR175552",50.3929617010763
"ERR211549",93.6074257046879
"ERR216477",90.5581011662802
"ERR216554",88.5445655740942
"ERR337538",86.8944659755059
"ERR337597",83.6210856880264
"ERR337599",86.7048350802092
"ERR337600",86.9901846348778
"ERR337601",85.6306376406041
"ERR337603",82.4322311515572
"ERR337604",87.5831644955648
"ERR337606",90.4201884153979
"ERR337607",90.0748189918053
"ERR337610",86.0932742008479
"ERR337618",89.7626040910766
"ERR337619",86.742693866482
"ERR337622",68.3867246668922
"ERR337626",89.0435011760698
"ERR337628",86.1346064721195
"ERR337630",60.5667360317144
"ERR386535",85.7739408538199
"ERR386537",88.2097084458036
"ERR386539",87.1089014250577
"ERR386541",86.7356848803077
"ERR386542",88.7910210132444
"ERR388742",91.6438185467246
"ERR426015",88.2674848774374
"ERR527337",69.1092965549962
"ERR527338",92.3923671796433
"ERR527340",87.0637399178697
"ERR527341",81.4317476023233
"ERR527343",85.6841494710525
"ERR527344",82.723606569169
"ERR527345",87.8341966281933
"ERR527346",86.4730893919663
"ERR527352",82.3921616455772
"ERR527355",83.5331311465651
"ERR527362",86.6297689494471
"ERR527363",69.9270459866352
"ERR527364",83.5206309449852
"ERR527366",71.6071554984747
"ERR527367",83.7329312221429
"ERR527368",84.9349953832396
"ERR527369",87.4103135569438
"ERR527370",87.6393506060225
"ERR527372",88.1846470001472
"ERR527373",63.5101208224852
"ERR527375",86.7918902050813
"ERR527376",84.8341068605679
"ERR527378",85.2823354023958
"ERR527380",85.676823227912
"ERR527382",85.1829692472361
"ERR527384",88.289414071882
"ERR527385",87.2436895660075
"ERR527450",49.3341253565822
"ERR527453",46.3417797690495
"ERR527467",44.3805397340268
"ERR586226",76.2028761832768
"SRR1562513",-107.797993166448
"SRR1562516",65.3748068365942
"SRR1562518",-105.525463791317
"SRR1562519",-107.347406815281
"SRR1562521",-102.782830771807
"SRR1562522",-112.708415915304
"SRR1562524",-99.1308968054647
"SRR1562525",-105.5459311357
"SRR1562526",-105.513829992174
"SRR1562534",-109.234132110734
"SRR1562538",-112.633194483396
"SRR1562567",-106.095155090876
"SRR1562614",-108.597719799885
"SRR1562616",88.3619632173252
"SRR1562624",-112.983739782582
"SRR1562671",87.9627162234687
"SRR1562672",52.1402144335503
"SRR1562818",-103.913188105699
"SRR1562840",-110.204692196197
"SRR1562845",86.5632831033786
"SRR1562870",-102.244116887667
"SRR1562871",-100.181330073271
"SRR1562958",-100.235315886086
"SRR1562965",-99.4753995877446
"SRR1562967",-92.8922580350065
"SRR1562968",-113.455443845498
"SRR1562970",83.9417119125707
"SRR1562971",-108.109280351413
"SRR1562972",-106.230630937996
"SRR1562974",82.625224659372
"SRR1562975",-106.022510378683
"SRR1564529",67.2252289424384
"SRR1564547",66.8272076950088
"SRR1564577",68.9500668978168
"SRR1564630",-112.993199759078
"SRR1564660",-103.573010404381
"SRR1564665",-102.318101859873
"SRR1564670",-108.26436588541
"SRR1567977",-103.169216990466
"SRR1568013",69.7104400525314
"SRR1568077",-114.042886680953
"SRR1568103",84.4969128122269
"SRR1568110",-110.2165348903
"SRR1568112",-103.802001950385
"SRR1568114",65.3727243125009
"SRR1568117",-111.212395097543
"SRR1568118",-103.112780709616
"SRR1568122",-104.161995509686
"SRR1568123",-105.665134685113
"SRR1568126",-111.061234869917
"SRR1568127",-94.130097450294
"SRR1568128",-102.047253519118
"SRR1568149",-100.69761336783
"SRR1568153",-113.92510756412
"SRR1568154",94.7223231601296
"SRR1568155",-107.732794300691
"SRR1568158",-115.088472937668
"SRR1568160",-106.802384586596
"SRR1568162",-98.1593014744934
"SRR1568163",-101.629092998587
"SRR1568166",-100.243937206667
"SRR1568169",-104.802100465171
"SRR1568171",-100.520979222022
"SRR1568174",-99.4295511484645
"SRR1568177",51.2850688532876
"SRR1568178",-97.3633266401432
"SRR1568180",88.6712669775593
"SRR1568181",-110.244539060288
"SRR1568183",-103.171092569943
"SRR1568186",85.3125520852654
"SRR1568191",-96.7036905279402
"SRR1568192",-93.2495262663045
"SRR1568195",-105.292429788974
"SRR1568196",-98.4021985969697
"SRR1568201",-95.7248195807849
"SRR1568204",63.375608777846
"SRR1568205",84.5435226952739
"SRR1568206",-99.3294359906347
"SRR1568207",-108.232561329417
"SRR1568208",83.0272545443968
"SRR1568211",-100.674875170363
"SRR1568213",-103.436066358235
"SRR1568216",-100.148326658819
"SRR1568218",-114.217765417655
"SRR1568219",-111.900319244091
"SRR1568221",-101.2287096157
"SRR1568223",-95.3883219259619
"SRR1568225",-115.076768401569
"SRR1568227",-107.749192516975
"SRR1568229",84.5678070847104
"SRR1568230",-99.3477939939351
"SRR1568231",-112.143254998151
"SRR1568235",-100.367437813616
"SRR1568236",-93.4307090669358
"SRR1568787",-88.7604310583144
"SRR1573226",-100.619311363268
