"STRid","correlation"
"VIVAX_STR_188",0.0319939303295129
"VIVAX_STR_189",0.0105763894540522
"VIVAX_STR_190",0.0284840217004161
"VIVAX_STR_191",0.0120848175155256
"VIVAX_STR_192",-Inf
"VIVAX_STR_193",0.0628898602736099
"VIVAX_STR_194",-Inf
"VIVAX_STR_196",-Inf
"VIVAX_STR_197",-Inf
"VIVAX_STR_198",0.104730534851017
"VIVAX_STR_199",0.0132735290486291
"VIVAX_STR_200",0.0133267126187806
"VIVAX_STR_201",-Inf
"VIVAX_STR_204",0.00218030625697191
"VIVAX_STR_205",0.0351557663813062
"VIVAX_STR_206",-Inf
"VIVAX_STR_207",0.140279458223326
"VIVAX_STR_208",0.00138683259152082
"VIVAX_STR_209",0.10904289416656
"VIVAX_STR_210",0.00895092976949816
"VIVAX_STR_212",-Inf
"VIVAX_STR_214",-Inf
"VIVAX_STR_215",0.0156892040954409
"VIVAX_STR_216",-Inf
"VIVAX_STR_217",0.000869736394709998
"VIVAX_STR_219",0.0102562284747538
"VIVAX_STR_220",0.0207945315239734
"VIVAX_STR_221",0.0160894405638227
"VIVAX_STR_222",0.00194166273287152
"VIVAX_STR_224",-Inf
"VIVAX_STR_225",0.200641496003536
"VIVAX_STR_226",0.0767700177980619
"VIVAX_STR_227",-Inf
"VIVAX_STR_228",0.000264057939772812
"VIVAX_STR_230",-Inf
"VIVAX_STR_231",-Inf
"VIVAX_STR_232",0.0122029543994862
"VIVAX_STR_233",-Inf
"VIVAX_STR_234",-Inf
"VIVAX_STR_235",0.0315464300619116
"VIVAX_STR_236",-Inf
"VIVAX_STR_237",-Inf
"VIVAX_STR_238",0.00289571053931278
"VIVAX_STR_240",0.00185641473351851
"VIVAX_STR_241",0.0122884131802746
"VIVAX_STR_242",-Inf
"VIVAX_STR_243",0.0117748917748918
"VIVAX_STR_244",0.0564789499144198
"VIVAX_STR_245",-Inf
"VIVAX_STR_246",0.00777082540736124
"VIVAX_STR_247",0.000335689375431268
"VIVAX_STR_248",0.0110667627671203
"VIVAX_STR_249",-Inf
"VIVAX_STR_250",0.0436724636955851
"VIVAX_STR_251",0.0060911938739993
"VIVAX_STR_253",0.02813339770449
"VIVAX_STR_256",0.00469745841465375
"VIVAX_STR_257",0.00756663664296893
"VIVAX_STR_258",0.000357990100380424
"VIVAX_STR_259",-Inf
"VIVAX_STR_261",0.00678120222097047
"VIVAX_STR_262",0.00116842359378772
"VIVAX_STR_263",-Inf
"VIVAX_STR_264",0.0469129330195172
"VIVAX_STR_265",-Inf
"VIVAX_STR_267",0.077240184679156
"VIVAX_STR_270",-Inf
"VIVAX_STR_273",0.0124047935188686
"VIVAX_STR_274",0.244070423138692
"VIVAX_STR_275",0.0218014608640933
"VIVAX_STR_276",-Inf
"VIVAX_STR_277",0.00192741635480406
"VIVAX_STR_278",-Inf
"VIVAX_STR_279",0.0129651860744298
"VIVAX_STR_280",0.0188182217975606
"VIVAX_STR_282",-Inf
"VIVAX_STR_283",-Inf
"VIVAX_STR_285",0.0143131890238996
"VIVAX_STR_286",-Inf
"VIVAX_STR_287",0.00066892836938114
"VIVAX_STR_288",0.0100036009514284
"VIVAX_STR_289",0.0198089965250234
"VIVAX_STR_291",-Inf
"VIVAX_STR_292",0.00602461320203367
"VIVAX_STR_293",-Inf
"VIVAX_STR_294",0.000418345068627133
"VIVAX_STR_295",0.0122549019607843
"VIVAX_STR_297",-Inf
"VIVAX_STR_298",0.00453702333618134
"VIVAX_STR_299",-Inf
"VIVAX_STR_300",0.0206108790821718
"VIVAX_STR_301",0.00330640610627909
"VIVAX_STR_302",0.238972847255412
"VIVAX_STR_305",0.00904174450565674
"VIVAX_STR_306",0.00561385755812566
"VIVAX_STR_310",0.0124728322913623
"VIVAX_STR_311",0.0904142551474973
"VIVAX_STR_313",0.00281911664763519
"VIVAX_STR_314",0.0112566661195062
"VIVAX_STR_320",-Inf
"VIVAX_STR_321",-Inf
"VIVAX_STR_322",-Inf
"VIVAX_STR_323",0.0135218721515617
"VIVAX_STR_324",-Inf
"VIVAX_STR_325",0.00618479214015999
"VIVAX_STR_326",0.00380402160864346
"VIVAX_STR_327",0.000241973309558468
"VIVAX_STR_328",0.00730390523514953
"VIVAX_STR_329",0.0624288568255254
"VIVAX_STR_330",0.0834717259459922
"VIVAX_STR_332",-Inf
"VIVAX_STR_333",0.0548808423354349
"VIVAX_STR_334",0.0274467781116809
"VIVAX_STR_335",0.00273805902038333
"VIVAX_STR_337",-Inf
"VIVAX_STR_338",0.0261086495107896
"VIVAX_STR_340",0.00674211475851772
"VIVAX_STR_342",0.0930264493587131
"VIVAX_STR_343",0.00149306347593472
"VIVAX_STR_344",0.0198933130428448
"VIVAX_STR_345",-Inf
"VIVAX_STR_346",-Inf
"VIVAX_STR_347",-Inf
"VIVAX_STR_348",0.0124686356732856
"VIVAX_STR_350",0.13010415024032
"VIVAX_STR_351",0.0135499477706134
"VIVAX_STR_353",0.00652141095959342
"VIVAX_STR_355",0.00495965510894375
"VIVAX_STR_356",0.0143642000703882
"VIVAX_STR_357",-Inf
"VIVAX_STR_358",-Inf
"VIVAX_STR_359",0.107194663167424
"VIVAX_STR_360",0.267456957115037
"VIVAX_STR_361",-Inf
"VIVAX_STR_362",-Inf
"VIVAX_STR_363",0.0305308768081934
"VIVAX_STR_364",0.0128647300233363
"VIVAX_STR_365",0.00990181523014544
"VIVAX_STR_366",-Inf
"VIVAX_STR_367",-Inf
"VIVAX_STR_368",-Inf
"VIVAX_STR_369",-Inf
"VIVAX_STR_370",-Inf
"VIVAX_STR_373",-Inf
"VIVAX_STR_374",0.0184550791838241
"VIVAX_STR_375",0.0307098946311563
"VIVAX_STR_376",-Inf
