"STRLocus","Length","RepeatUnits","GC_STR","GC_Flank","GC_Diff","SequenceComplexity","Missingness","Mean_Posterior","Mean_Indel","Mean_Stutter","He","MeanHe","MinimumHe","MaximumHe","JostD","Probability"
"1:131609-131637",9,3.22222,0,23,23,0.56,0.040229885,1,0.974644183,0.259087815,0.34701681,0.205659189,0,0.666666667,0,0.843988148
"1:134542-134559",1,18,0,32,32,0.58,0,0.985287356,3.097643956,19.16106603,0.62886187,0.494769053,0,1,0.314770427,0.985351143
"1:141362-141378",2,8.5,0,35,35,0.55,0.005747126,0.996473988,0.998797316,9.605480997,0.12192499,0.170151382,0,1,0.043447283,0.40767096
"1:142535-142548",1,14,0,37,37,0.58,0,0.999770115,1.379961504,17.29093922,0.493522025,0.511245444,0,1,0.098533982,0.805160628
"1:143349-143371",1,23,0,35,35,0.59,0.017241379,0.994502924,1.593465171,14.60077705,0.501891985,0.40753238,0,1,0.238189061,0.960742068
"1:158561-158577",1,17,0,33,33,0.56,0.011494253,0.94127907,2.623685081,27.60769019,0.545763634,0.537535655,0,1,0.113995326,0.600252966
"1:159503-159523",1,21,0,34,34,0.57,0.068965517,0.842407407,4.045304001,21.8205043,0.589295299,0.448979388,0,1,0.206466286,0.648208927
"1:176971-176981",1,11,0,52,52,0.59,0.051724138,0.996969697,1.299048766,10.75305719,0.500813008,0.257814508,0,0.666666667,0,0.992747578
"1:178115-178132",1,18,0,37,37,0.59,0.011494253,0.998662791,1.643683012,19.09913194,0.398544812,0.279640534,0,0.6,0.379003117,0.851055899
"1:181638-181650",4,3.25,53.84615385,41,12.84615385,0.59,0.017241379,1,0.47971751,0.142983352,0.011695906,0.1,0,1,0,0.305032436
"1:200647-200657",1,11,0,41,41,0.57,0.017241379,0.999532164,0.91954651,6.731541691,0.486412109,0.412650276,0,1,0.233459021,0.963711206
"1:211219-211234",1,16,0,37,37,0.56,0.045977011,0.993554217,3.519484893,26.84567996,0.413800657,0.406193643,0,1,0.044818839,0.748781516
"1:238979-238990",3,4,33.33333333,49,15.66666667,0.58,0.011494253,1,0.577704652,0.026926935,0.140554876,0.032172909,0,0.353901996,0.005939989,0.388147347
"1:242555-242574",1,20,0,55,55,0.6,0.08045977,0.899625,3.716872468,22.93479851,0.536477987,0.327195885,0,0.664367816,0.277561553,0.849796089
"1:250281-250307",1,27,3.703703704,44,40.2962963,0.58,0.022988506,0.999764706,2.918709883,19.49799494,0.5209189,0.224688824,0,0.485294118,0.000132749,0.992318988
"1:252017-252056",3,13.3333,27.5,51,23.5,0.58,0.011494253,1,0.590924227,0.255605163,0.423432613,0.312424065,0,1,0.359312298,0.878676995
"1:269073-269133",9,6.77778,68.85245902,54,14.85245902,0.58,0.022988506,0.999823529,1.111450255,0.31875503,0.609049774,0.730812246,0.459770115,1,0.29911275,0.209973109
"1:276009-276025",1,17,5.882352941,28,22.11764706,0.56,0,1,0.870498398,8.140724728,0.239186765,0.12845221,0,0.514705882,0.222937234,0.703238282
"1:280456-280519",9,7.11111,60.9375,67,6.0625,0.59,0.011494253,1,1.05876035,0.193156999,0.580919353,0.58275117,0,1,0.248957677,0.448574062
"1:286068-286108",9,4.55556,43.90243902,47,3.097560976,0.57,0.005747126,1,0.669355278,0.088245276,0.11143971,0.121162245,0,0.666666667,0.014788983,0.230435061
"1:305268-305338",9,7.88889,67.6056338,57,10.6056338,0.58,0.022988506,0.980175439,1.129123945,3.767841925,0.400828157,0.278530378,0,0.833333333,0.437506133,0.843825618
"1:307856-307865",3,3.33333,40,49,9,0.59,0,1,0.559189871,0.05176882,0.487941001,0.167261899,0,0.571428571,0.389876582,0.983496862
"1:313075-313091",1,17,0,43,43,0.56,0.040229885,0.962215569,2.665823048,21.44241076,0.461005699,0.276887988,0,0.632478632,0.13212637,0.915682212
"1:319550-319565",2,8,0,38,38,0.57,0,1,0.519303456,5.031536607,0.30190685,0.223503016,0,0.571428571,0.107448096,0.402547066
"1:328548-328560",3,4.33333,30.76923077,51,20.23076923,0.59,0.011494253,1,0.4101338,0.144686623,0.034475724,0.134199134,0,1,0.051144374,0.234830834
"1:329883-329894",4,3,75,51,24,0.55,0.022988506,1,0.67166224,0.021992205,0.011764706,0.090909091,0,1,0.042424887,0.343446839
"1:330441-330450",1,10,100,51,49,0.58,0.022988506,0.994764706,1.216630521,9.667502891,0.500591716,0.453730918,0,1,0.340659827,0.849451888
"1:330534-330543",2,5,0,43,43,0.6,0,1,0.866243819,0.082510074,0.368347618,0.276340954,0,0.666666667,0.264392715,0.557348332
"1:336764-336773",1,10,0,39,39,0.58,0.017241379,0.995614035,1.124514677,15.96900083,0.565669075,0.235644234,0,0.608374384,0.399408461,0.998236722
"1:337318-337347",8,3.75,43.33333333,49,5.666666667,0.55,0,1,0.852977986,0.080596573,0.434854827,0.201897487,0,1,0.264293173,0.991165217
"1:340257-340287",8,3.875,54.83870968,51,3.838709677,0.57,0.017241379,1,0.507306692,0.259262774,0.424423805,0.371850753,0,1,0.145350305,0.785389988
"1:341434-341446",1,13,0,44,44,0.57,0.017241379,0.999590643,1.462983183,18.76298233,0.216718266,0.198284219,0,1,0.06675313,0.686957939
"1:341548-341569",1,22,0,39,39,0.58,0.040229885,0.897125749,3.545199239,17.09579145,0.533439146,0.359445625,0,0.666666667,0.236908992,0.754006562
"1:349715-349740",7,3.71429,19.23076923,36,16.76923077,0.53,0.063218391,1,2.968883614,0.120086856,0.127395289,0.195745332,0,1,0.045744698,0.38898323
"1:354167-354203",8,4.625,43.24324324,43,0.243243243,0.57,0.011494253,1,0.303614337,0.227651486,0.559023528,0.558736217,0.066666667,1,0.44837787,0.487687114
"1:363730-363745",1,16,0,38,38,0.56,0.063218391,0.988895706,3.657432877,20.46134197,0.461031584,0.288388884,0,1,0.340481234,0.985514317
"1:365466-365476",2,5.5,54.54545455,25,29.54545455,0.54,0.086206897,0.994968553,2.583711907,0.336426285,0.297985829,0.100859847,0,0.42,0,0.852184576
"1:371589-371598",3,3.33333,100,56,44,0.57,0.011494253,1,0.417676972,0.018445652,0.011627907,0.090909091,0,1,0,0.338941356
"1:386161-386189",9,3.22222,55.17241379,62,6.827586207,0.54,0.011494253,0.992616279,0.912483155,0.16777224,0.674418605,0.733270712,0.470588235,1,0.20411058,0.520798352
"1:388938-388961",1,24,8.333333333,52,43.66666667,0.56,0.017241379,0.996023392,2.000560914,17.8743398,0.437151703,0.393526185,0,1,0.159942303,0.884307439
"1:390142-390193",9,5.77778,59.61538462,61,1.384615385,0.58,0.045977011,0.993630952,1.690339603,0.347497622,0.100783875,0.069444444,0,0.555555556,0.339819539,0.258783151
"1:392421-392438",1,18,0,56,56,0.59,0.022988506,0.998,1.64064993,12.59284617,0.410929342,0.243346255,0,0.666666667,0.228054808,0.95603647
"1:394664-394681",1,18,0,30,30,0.57,0.045977011,0.878012048,2.765450883,17.87028768,0.708287696,0.548569151,0,0.812307692,0.301132815,0.854798746
"1:396926-396957",9,3.55556,75,64,11,0.56,0.034482759,1,0.788135202,0.114094923,0.53029655,0.28689337,0,1,0.446163126,0.99169823
"1:403021-403033",1,13,0,52,52,0.59,0.034482759,0.99452381,1.562817407,17.71964985,0.283219276,0.243397367,0,1,0.028790518,0.79949864
"1:405832-405842",1,11,0,49,49,0.56,0.005747126,1,1.69151536,4.753668795,0.333848636,0.20836167,0,0.666666667,0,0.910754209
"1:414991-415007",3,5.66667,35.29411765,56,20.70588235,0.58,0.017241379,1,0.60015253,1.907418216,0.724595803,0.653327287,0,1,0.308172915,0.745769729
"1:418850-418883",8,4.25,44.11764706,64,19.88235294,0.57,0.022988506,0.996058824,1.38528468,0.090497738,0.080682214,0.179758426,0,1,0.149954243,0.22552823
"1:419903-419936",5,6.8,5.882352941,24,18.11764706,0.54,0.057471264,0.992256098,1.365565694,0.186187115,0.426455185,0.419675761,0,1,0.079685575,0.641025255
