"STRLocus","Length","RepeatUnits","GC_STR","GC_Flank","GC_Diff","SequenceComplexity","Missingness","Mean_Posterior","Mean_Indel","Mean_Stutter","He","MeanHe","MinimumHe","MaximumHe","JostD","Probability"
"1:106452-106476",2,12.5,0,17,17,0.57,0.011486708,0.998658699,0.420341575,2.304551125,0.23106445,0.211934806,0.048765432,0.332921047,0.009898473,0.988557602
"1:110829-110839",1,11,0,21,21,0.54,0.024614375,0.999202557,0.987809163,6.530483603,0.048286645,0.031388787,0,0.114469792,0.000528501,0.750320297
"1:115852-115872",1,21,0,13,13,0.53,0.036101083,0.999203269,1.308601957,10.89701894,0.388519027,0.308123364,0.036131711,0.514242105,0.210408063,0.999999986
"1:117081-117101",2,10.5,0,15,15,0.56,0.041680341,0.994722603,1.785148752,6.26285937,0.542110969,0.552065335,0.432006899,0.644355644,0.110497496,0.889590813
"1:119181-119195",2,7.5,0,14,14,0.53,0.025927141,0.999743935,0.420812841,2.013473898,0.173626195,0.194875815,0.014983241,0.48045977,0.041296174,0.998523936
"1:121825-121837",2,6.5,0,13,13,0.53,0.019363308,0.999267068,1.609641993,2.248151477,0.422788128,0.457466178,0.162950691,0.559259259,0.097470766,0.809363132
"1:128748-128766",5,3.8,36.84210526,18,18.84210526,0.56,0.01378405,0.999317804,1.338186648,0.116684656,0.091660371,0.097753999,0.024691358,0.263377193,0.002620973,0.954829779
"1:133256-133271",1,16,0,23,23,0.57,0.018050542,0.998776738,1.412613178,0.530035579,0.142742175,0.142766024,0,0.342528736,0.006069675,0.998417948
"1:135875-135903",6,4.83333,34.48275862,22,12.48275862,0.57,0.016081392,1,0.755170415,0.170714633,0.361274773,0.341506573,0.224074074,0.540229885,0.028655654,0.998805925
"1:141319-141333",1,15,0,23,23,0.55,0.077125041,0.99752845,6.848450386,18.06251708,0.225948102,0.230547452,0.088053882,0.425806452,0.018237108,0.99927167
"1:142956-142967",1,12,0,17,17,0.54,0.006235642,0.998847424,0.839294882,10.67505271,0.080953715,0.090060429,0,0.2,0.002121332,0.854288981
"1:148339-148370",6,5.33333,3.125,22,18.875,0.56,0.004594683,1,0.34678263,0.139546614,0.342922662,0.290125346,0.159320434,0.50995227,0.024780322,0.999868363
"1:151634-151656",6,3.83333,0,29,29,0.57,0.00590745,1,0.256908261,0.293642251,0.275631031,0.192832441,0,0.465257019,0.017536105,0.999993423
"1:155820-155841",3,7.33333,0,29,29,0.57,0.007220217,0.999986777,0.342739878,3.024182313,0.637294154,0.561427178,0.350630631,0.772053596,0.0679648,0.999989448
"1:159474-159508",2,17.5,0,21,21,0.56,0.060715458,0.869010364,1.255972554,6.494185317,0.804508498,0.762075633,0.614035088,0.821676924,0.335038139,0.852305676
"1:162761-162784",1,24,4.166666667,22,17.83333333,0.58,0.013455858,0.99998004,1.757161101,10.44217302,0.440688673,0.378483585,0.095061728,0.503225806,0.119085488,0.99999997
"1:162968-162979",3,4,0,17,17,0.56,0.000328192,1,0.30946978,1.228191011,0.33409667,0.37502288,0.211300801,0.511827957,0.039454625,0.871484897
"1:181026-181047",5,4.4,0,23,23,0.56,0.006892025,1,0.258569246,0.263721591,0.59328115,0.566601973,0.491185645,0.641219769,0.045678064,0.987093313
"1:181300-181323",2,12,8.333333333,16,7.666666667,0.52,0.093534624,0.999880521,2.120797875,2.288557154,0.393952332,0.359757147,0.133004926,0.493520918,0.075535745,0.996972957
"1:181406-181416",1,11,0,21,21,0.57,0.005251067,0.999854833,0.781020506,5.448343478,0.387446986,0.388828864,0.124315256,0.516129032,0.077082669,0.999995506
"1:184576-184588",1,13,0,19,19,0.54,0.083360683,0.997278912,1.616985037,10.97755317,0.040180014,0.019005972,0,0.101785882,0.000497916,0.669763652
"1:194199-194221",6,3.83333,17.39130435,24,6.608695652,0.57,0.062356416,1,0.481790598,0.164466405,0.209226638,0.207761618,0.025316456,0.498023715,0.09407846,0.99911414
"1:194788-194797",3,3.33333,30,24,6,0.53,0.021332458,1,0.43503097,0.020830322,0.059190208,0.039448492,0,0.129577127,0.001237779,0.869162599
"1:217803-217821",2,9.5,0,12,12,0.52,0.036101083,0.991127,0.786492962,7.175763171,0.359951581,0.35975855,0.0558943,0.558453443,0.205385934,0.980196755
"1:221668-221681",1,14,0,11,11,0.53,0.031834591,0.998372881,3.192282449,13.42535256,0.055584254,0.031080494,0,0.122128566,0.000780631,0.808158308
"1:226083-226099",1,17,0,25,25,0.56,0.042664916,0.996242715,4.201864193,21.39045718,0.109955452,0.094079435,0,0.227051507,0.004145287,0.978696462
"1:227352-227369",2,9,0,15,15,0.56,0.062684608,0.999656863,5.396145092,4.302665395,0.626368551,0.522891343,0.342096722,0.597849462,0.232624587,0.997277795
"1:229553-229567",1,15,0,15,15,0.52,0.083360683,0.998643036,2.771655621,16.77571497,0.130224507,0.156790343,0.039933267,0.404597701,0.014343229,0.989815748
"1:231385-231400",1,16,0,29,29,0.57,0.064325566,0.996811645,7.307960849,20.94705749,0.065434474,0.044323839,0,0.151803168,0.001325818,0.878143992
"1:237357-237379",2,11.5,0,21,21,0.55,0.002297342,0.999046053,0.440080556,4.900970453,0.160941099,0.128326043,0,0.20285658,0.002819577,0.957796352
"1:237911-237922",1,12,0,15,15,0.55,0.007220217,0.99934876,1.657469516,11.53117092,0.047941099,0.062810614,0,0.184355729,0.002497138,0.612463271
"1:253487-253499",2,6.5,0,24,24,0.53,0.013455858,0.999777112,1.989380107,0.589545163,0.052509291,0.032484313,0,0.132292251,0.001218953,0.909598843
"1:255163-255177",4,3.75,20,18,2,0.55,0.00984575,0.999509446,0.386969745,0.17304859,0.231421151,0.162984006,0,0.418933887,0.026328902,0.999961862
"1:255652-255669",4,4.5,22.22222222,21,1.222222222,0.54,0.00590745,1,0.29305569,0.242093048,0.042090265,0.053935859,0,0.180645161,0.002228757,0.800360512
"1:255669-255682",4,3.5,21.42857143,18,3.428571429,0.54,0.008532983,1,0.257678694,0.241922507,0.054403064,0.043267003,0,0.144866457,0.001934838,0.837512189
"1:263944-263980",2,18.5,2.702702703,20,17.2972973,0.55,0.0078766,0.999751902,0.379307891,1.152252817,0.11703413,0.119096003,0,0.264119378,0.005715775,0.977812724
"1:264034-264055",2,11,0,16,16,0.52,0.012143092,0.998322259,0.580392264,3.962214692,0.561121729,0.503679821,0.253968254,0.621835443,0.113786156,0.998897834
"1:272950-272967",1,18,5.555555556,24,18.44444444,0.58,0.008532983,0.999410791,2.293392942,12.00644985,0.210412762,0.225948789,0,0.490322581,0.052437428,0.999920033
"1:273962-273979",1,18,0,23,23,0.53,0.048244175,0.995941379,4.593221406,25.97017159,0.064606583,0.039866796,0,0.116179612,0.000518007,0.77911238
"1:274049-274074",2,13,3.846153846,23,19.15384615,0.53,0.055464391,0.999909659,0.381151688,4.187176668,0.638613064,0.507852208,0.388924051,0.573536828,0.322189319,0.996805656
"1:274141-274186",5,9.2,2.173913043,20,17.82608696,0.54,0.065310141,0.999146904,0.282633028,0.111095925,0.084775814,0.116313936,0,0.316649642,0.010158624,0.96184226
"1:274600-274617",3,6,0,30,30,0.57,0.0315064,1,0.267799742,0.940607058,0.484523603,0.449358109,0.314516129,0.506329114,0.046144683,0.983559731
"1:274616-274629",3,4.66667,28.57142857,23,5.571428571,0.57,0.046603216,1,0.343940412,0.828599512,0.48095167,0.447310482,0.314516129,0.506329114,0.042489422,0.98059139
"1:280226-280235",1,10,0,13,13,0.52,0.070889399,0.999046273,1.608763529,3.512631261,0.501745815,0.172889806,0.049794293,0.503225806,0.452733266,1
