"STRid","correlation"
"VIVAX_STR_188",0.00673642430277608
"VIVAX_STR_189",0.0240327916807932
"VIVAX_STR_190",0.0140551921133674
"VIVAX_STR_191",0.0145488707782399
"VIVAX_STR_192",-Inf
"VIVAX_STR_193",0.00874675140142634
"VIVAX_STR_194",-Inf
"VIVAX_STR_196",-Inf
"VIVAX_STR_197",-Inf
"VIVAX_STR_198",0.0108337120385313
"VIVAX_STR_199",0.00929312883412972
"VIVAX_STR_200",0.00843596742627374
"VIVAX_STR_201",-Inf
"VIVAX_STR_204",0.00383116010216427
"VIVAX_STR_205",0.00489186035829765
"VIVAX_STR_206",-Inf
"VIVAX_STR_207",0.0317409539526781
"VIVAX_STR_208",0.0255736522011987
"VIVAX_STR_209",0.0129053075779759
"VIVAX_STR_210",0.0314273902332017
"VIVAX_STR_212",-Inf
"VIVAX_STR_214",-Inf
"VIVAX_STR_215",0.00358033887934014
"VIVAX_STR_216",-Inf
"VIVAX_STR_217",0.00322601812249086
"VIVAX_STR_219",0.00723344947735192
"VIVAX_STR_220",0.00989656840819207
"VIVAX_STR_221",0.0266678061029052
"VIVAX_STR_222",0.0210067322787103
"VIVAX_STR_224",-Inf
"VIVAX_STR_225",0.00518089132295954
"VIVAX_STR_226",0.0163968094524594
"VIVAX_STR_227",-Inf
"VIVAX_STR_228",0.0476196968975007
"VIVAX_STR_230",-Inf
"VIVAX_STR_231",-Inf
"VIVAX_STR_232",0.0126013920916919
"VIVAX_STR_233",-Inf
"VIVAX_STR_234",-Inf
"VIVAX_STR_235",0.00439876390946342
"VIVAX_STR_236",-Inf
"VIVAX_STR_237",-Inf
"VIVAX_STR_238",0.0099906760243355
"VIVAX_STR_240",0.00174309516431187
"VIVAX_STR_241",0.00916330839611147
"VIVAX_STR_242",-Inf
"VIVAX_STR_243",0.00715304303539598
"VIVAX_STR_244",0.0343084310101925
"VIVAX_STR_245",-Inf
"VIVAX_STR_246",0.0087725333700289
"VIVAX_STR_247",0.00431034482758621
"VIVAX_STR_248",0.00357474594635876
"VIVAX_STR_249",-Inf
"VIVAX_STR_250",0.003378124765408
"VIVAX_STR_251",0.00795584505991746
"VIVAX_STR_253",0.0169187537750236
"VIVAX_STR_256",0.0104902590451723
"VIVAX_STR_257",0.00631103485346372
"VIVAX_STR_258",0.0171428571428571
"VIVAX_STR_259",-Inf
"VIVAX_STR_261",0.00556208256216303
"VIVAX_STR_262",0.0166307234248008
"VIVAX_STR_263",-Inf
"VIVAX_STR_264",0.00188527584947022
