"Sample","PC1","PC2","PC3","Population","Country","Region","RegionPopulation","Site"
"ERR035359",-20.9389675530776,-1.15964281716594,-0.153608658094208,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR035360",-19.7097537883714,-0.847055496077576,-0.555734462835826,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR035363",-20.5320405015147,-0.239035813185977,-1.10512145756933,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR036145",-19.2647424380247,-1.16148569312405,0.348352555760695,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR036147",-18.6935497983025,0.266035496840506,0.162587962013169,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR036148",-21.1553114288894,-1.57414643014171,-1.09377738573782,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR036150",-19.1924356691356,-0.223558128869634,-1.25748638432242,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR036152",-20.182242813175,-1.33238589566366,0.261981099570864,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR036561",22.7426880792805,-12.3205063771644,-1.30084009188726,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036562",22.1784240681486,-16.7539690273487,-0.663874779155134,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036563",15.4059789710384,3.28470040589182,0.739709548079088,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036566",19.3852886041059,-5.72238939746876,1.52896912247622,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036567",23.9718815834507,-24.530681516768,0.692393107106408,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036569",19.4346483536439,-5.54354458734263,-0.953913268743242,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036572",19.0005783533642,0.231158407365518,0.210539710039652,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036573",22.7107666222515,-17.0361235965902,-0.775181609521521,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036574",21.9448312566945,-5.53055075016325,-1.59416381118465,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036575",20.0002821208229,-4.86371278692653,-0.584940194062972,"ESEA","Cambodia","Asia","Asia-ESEA","Pailin"
"ERR036576",21.14054906848,-9.82356869808768,-0.245992076916926,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036578",18.4886629270827,-1.78341921401844,-1.38840490130144,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036579",18.9290317507826,0.787153860171086,-1.07336834071056,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036580",18.3514055644461,2.48098755531687,-0.920490822489265,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036582",21.9706094368168,-16.3550356991244,-0.196110483512787,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036584",18.2777976184433,0.247301614434286,-0.494972212617536,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036585",20.9935076080343,-1.83448971143808,-1.64599426236154,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036586",20.0592049410698,-1.91308637989309,-1.22542461252374,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036587",23.3885610888129,-24.7468177746072,0.430886745288956,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036588",18.5453838449497,1.71053298179496,-1.53959722177496,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036590",21.088726478445,-1.96763461670741,-1.95656101014655,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036592",21.9210414080623,-11.0497508897047,-0.375531744580693,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036593",19.8507522432975,-4.28137345079146,2.92715837288573,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036594",21.2597051321183,-1.76441190679431,-1.92742237597084,"ESEA","Cambodia","Asia","Asia-ESEA","Tasanh"
"ERR036596",1.7590635338018,4.01723463708225,3.47073450713007,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR036597",2.31306607081122,4.65719113651004,0.201515686616022,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR036598",1.04076382525162,5.44443644791993,3.83754299101288,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR036600",2.50537769933651,3.45597686683235,2.95053291368919,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR036602",2.30677532822111,3.51951204069425,2.24118550561445,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR036603",1.74079402637489,3.75440381600511,0.978666117806955,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR036604",-0.00412809209435351,4.14594554812994,0.976591391455519,"SAS","Bangladesh","Asia","Asia-SAS","Bandarban"
"ERR037383",-21.6944219432965,-0.837154884088757,0.202867902565817,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
"ERR039175",19.0581750729603,1.55755367486955,0.584391012555461,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039176",20.4713356951109,1.05299590684561,-0.366474639483251,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039179",23.2297806360654,-24.2157151622969,1.48590677365417,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039180",20.495935817695,0.283162739360695,-0.135479182222013,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039182",25.1984452610943,-27.1076528165503,0.720556535505834,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039186",24.9981844031722,-34.5087646486583,1.21956578588593,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039188",18.05908495805,1.12467160216807,1.09160636909363,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039189",21.113529967552,-0.612422172183642,-1.36337523770758,"ESEA","Cambodia","Asia","Asia-ESEA","Pursat"
"ERR039190",15.1437589178423,4.60919959925773,5.09007438789391,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039193",13.5759447781323,5.09882492516249,6.69855902369969,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039194",13.4395762448471,5.0857608494121,6.77895772665806,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039196",14.804477410233,4.5616350999378,5.6399210424313,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039197",12.4382956969926,6.08436616948139,4.84760304955957,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039198",13.9785926380297,6.03947428347373,5.10004164525546,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039199",13.3463977734175,4.7635399039822,6.62412636238271,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039200",14.559032417992,4.85707559425291,4.72105307842024,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039202",13.3344587915243,5.10469772105613,5.14970114104607,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039203",12.5283793448076,5.13115476988484,4.83618699638415,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039204",13.5389357190425,5.0334895831631,6.87736706923267,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039205",13.5243955571121,5.87649099277862,4.57164352611281,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039206",13.0771975007537,5.27318502437631,4.39787479212784,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039207",14.1951555739394,4.54320364801729,5.29008874227792,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039208",14.1698808041619,5.34681687874723,5.28931737633543,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039209",14.1769606539559,5.04201701441026,4.4980293528598,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039210",13.6029748835919,5.32039563332178,5.38037858656439,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039211",12.0138563433406,3.73323021764256,4.49944416722336,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039212",13.8909768704703,6.24948824711842,5.05448687262854,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039213",14.8264039388874,4.47777805412859,5.10864322591703,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039214",12.8199782108927,5.98119978681048,6.07069411082066,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039217",14.6592032942789,4.78998078648487,4.93934018092082,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039220",13.630014230314,3.92429833618722,4.10270801669263,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039222",12.4597391597332,5.9554924650926,7.54552246829667,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039223",14.0674149251565,5.56145067704023,4.79295387120407,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039224",13.9752545733415,5.37574726895934,4.57427205728873,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039225",13.2878317091165,5.5238302098712,3.43326991926121,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039227",13.7873218314483,6.11257559148218,4.78635352563905,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039228",12.4892920427963,4.97484610576567,6.72615172529679,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039230",13.1282538606715,6.25815898225727,3.74168742824431,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039231",13.4592692623296,5.94801450665716,5.86450243883739,"ESEA","Cambodia","Asia","Asia-ESEA","Ratanakiri"
"ERR039235",-17.9054109072139,-1.34934675520113,-1.77362182300696,"WAF","Ghana","Africa","Africa-WAF","Navrongo"
