"STRid","complexity","GC_flank","GC_STR","GC_diff","MaxHe","MeanHe","MinHe","Heterozygosity","JostD","Length","Repeatunits","mean_indel","mean_Posterior","mean_stutter","Missingness"
"VIVAX_STR_188",0.54,17,0,17,1,0.138979468807055,0,0.0902192829794641,0,1,18,0.583025687955807,0.984764705882353,6.55697481418781,0.0229885057471264
"VIVAX_STR_189",0.58,26,0,26,0.220588235294118,0.0430801857214319,0,0.0599281759688763,0,1,11,2.10283912952113,0.983353658536585,8.58619906389298,0.0574712643678161
"VIVAX_STR_190",0.58,33,4.76190476190476,28.2380952380952,0.257142857142857,0.0585616126792597,0,0.072029084299023,0,1,21,2.16241606317915,0.980920245398773,21.8325371635091,0.0632183908045977
"VIVAX_STR_191",0.6,32,0,32,0.0666666666666667,0.00666666666666667,0,0.0115606936416186,0,1,11,1.31854311853026,0.999942196531792,7.84524910150451,0.00574712643678161
"VIVAX_STR_192",0.56,31,0,31,0,0,0,0,0,1,11,0.859245001646845,1,12.2811540720231,0.00574712643678161
"VIVAX_STR_193",0.55,27,0,27,0.666666666666667,0.155226473312388,0,0.207657500870171,0.0206491455937698,1,15,2.39875693546962,0.951176470588235,18.2470718704784,0.0229885057471264
"VIVAX_STR_194",0.56,25,0,25,0,0,0,0,0,1,11,0.983498099135644,0.999768786127168,9.96685470049772,0.00574712643678161
"VIVAX_STR_196",0.57,37,30,7,0,0,0,0,0,3,3.33333,0.429740654095604,1,0.00466157001678165,0.00574712643678161
"VIVAX_STR_197",0.59,35,50,15,0,0,0,0,0,2,5,0.611068003440227,1,0.0629038320864433,0
"VIVAX_STR_198",0.56,23,0,23,0.666666666666667,0.205659189295553,0,0.347016809753986,0,9,3.22222,0.974644182675036,1,0.259087815342353,0.0402298850574713
"VIVAX_STR_199",0.57,30,0,30,0.0666666666666667,0.00606060606060606,0,0.0117647058823528,0,1,12,1.44693406427992,0.999941176470588,8.21306402285115,0.0229885057471264
"VIVAX_STR_200",0.58,22,0,22,0.0689655172413791,0.00689655172413791,0,0.0123456790123457,0,1,13,1.7470191013847,1,13.2655607005169,0.0689655172413793
"VIVAX_STR_201",0.59,41,0,41,0,0,0,0,0,1,10,0.81556720523588,1,5.1520860936455,0.0114942528735632
"VIVAX_STR_204",0.57,29,52.6315789473684,23.6315789473684,0.0695488721804511,0.00632262474367737,0,0.0231878144974841,0,2,9.5,0.980516294428848,1,0.069240466607379,0.0114942528735632
