"STRid","correlation"
"VIVAX_STR_188",0.0319939303295129
"VIVAX_STR_189",0.0173121505322396
"VIVAX_STR_190",0.0284840217004161
"VIVAX_STR_191",0.0145488707782399
"VIVAX_STR_192",-Inf
"VIVAX_STR_193",0.0628898602736099
"VIVAX_STR_194",-Inf
"VIVAX_STR_196",-Inf
"VIVAX_STR_197",-Inf
"VIVAX_STR_198",0.104730534851017
"VIVAX_STR_199",0.0147575794989733
"VIVAX_STR_200",0.0170586749782196
"VIVAX_STR_201",-Inf
"VIVAX_STR_204",0.00228289503163743
"VIVAX_STR_205",0.0351557663813062
"VIVAX_STR_206",-Inf
"VIVAX_STR_207",0.140279458223326
"VIVAX_STR_208",0.0116681930363472
"VIVAX_STR_209",0.151954506971862
"VIVAX_STR_210",0.00895092976949816
"VIVAX_STR_212",-Inf
"VIVAX_STR_214",-Inf
"VIVAX_STR_215",0.0156892040954409
"VIVAX_STR_216",-Inf
"VIVAX_STR_217",0.00903022602408776
"VIVAX_STR_219",0.0102562284747538
"VIVAX_STR_220",0.0289127252468542
"VIVAX_STR_221",0.0210017972023681
"VIVAX_STR_222",0.0135695306632605
"VIVAX_STR_224",-Inf
"VIVAX_STR_225",0.200641496003536
"VIVAX_STR_226",0.0767700177980619
"VIVAX_STR_227",-Inf
"VIVAX_STR_228",0.0123838723155347
"VIVAX_STR_230",-Inf
"VIVAX_STR_231",-Inf
"VIVAX_STR_232",0.0354515537169816
"VIVAX_STR_233",-Inf
"VIVAX_STR_234",-Inf
"VIVAX_STR_235",0.0315464300619116
"VIVAX_STR_236",-Inf
"VIVAX_STR_237",-Inf
"VIVAX_STR_238",0.00849205597772187
"VIVAX_STR_240",0.00855698817234555
"VIVAX_STR_241",0.0215400579242396
"VIVAX_STR_242",-Inf
"VIVAX_STR_243",0.0175426534250064
"VIVAX_STR_244",0.0564789499144198
"VIVAX_STR_245",-Inf
"VIVAX_STR_246",0.0081642234436089
"VIVAX_STR_247",0.0101546036067958
"VIVAX_STR_248",0.0110667627671203
"VIVAX_STR_249",-Inf
"VIVAX_STR_250",0.0436724636955851
"VIVAX_STR_251",0.0147692804932624
"VIVAX_STR_253",0.0619407838824882
"VIVAX_STR_256",0.0124686356732856
"VIVAX_STR_257",0.00956971014111064
"VIVAX_STR_258",0.0101319790170069
"VIVAX_STR_259",-Inf
"VIVAX_STR_261",0.0111627906976744
"VIVAX_STR_262",0.00116842359378772
"VIVAX_STR_263",-Inf
"VIVAX_STR_264",0.0469129330195172
"VIVAX_STR_265",-Inf
"VIVAX_STR_267",0.077240184679156
"VIVAX_STR_270",-Inf
